,title,author,url,category,id
138,,Plato,https://sacred-texts.com/atl/index.htm#,Atlantis,
139,"Vril, the Power of the Coming Race",Edward Bulwer-Lytton,https://sacred-texts.com/atl/vril/index.htm,Atlantis,vril
140,The Oera Linda Book,Wiliam R. Sandbach,https://sacred-texts.com/atl/olb/index.htm,Atlantis,olb
141,"Atlantis, the Antediluvian World",Ignatius Donnelly,https://sacred-texts.com/atl/ataw/index.htm,Atlantis,ataw
142,Ragnarok: The Age of Fire and Gravel,Ignatius Donnelly,https://sacred-texts.com/atl/rag/index.htm,Atlantis,rag
143,The Book of Dzyan,H.P. Blatavsky,https://sacred-texts.com/atl/dzyan/dzyan.htm,Atlantis,dzyan
144,The Story of Atlantis,W. Scott-Elliot,https://sacred-texts.com/atl/soa/index.htm,Atlantis,soa
145,The Lost Continent,Cutcliffe Hyne,https://sacred-texts.com/atl/tlc/index.htm,Atlantis,tlc
146,The Lost Lemuria,W. Scott-Elliot,https://sacred-texts.com/atl/tll/index.htm,Atlantis,tll
147,A Dweller on Two Planets,Frederick S. Oliver,https://sacred-texts.com/atl/dtp/index.htm,Atlantis,dtp
148,"How I Found the Lost Atlantis, The Source of All Civilization",Paul Schliemann,https://sacred-texts.com/atl/hif/index.htm,Atlantis,hif
149,The Treasure of Atlantis,J. Allan Dunn,https://sacred-texts.com/atl/toa/index.htm,Atlantis,toa
150,Altantida (L’Antlantide),Pierre Benoit,https://sacred-texts.com/atl/ant/index.htm,Atlantis,ant
151,The Sacred Symbols of Mu,James Churchward,https://sacred-texts.com/atl/ssm/index.htm,Atlantis,ssm
152,Selestor’s Men of Atlantis,Clara Iza von Ravn,https://sacred-texts.com/atl/smoa/index.htm,Atlantis,smoa
153,I Remember Lemuria,Richard S. Shaver,https://sacred-texts.com/ufo/irl/index.htm,Atlantis,irl
154,Oceanic Mythology,Roland B. Dixon,https://sacred-texts.com/pac/om/index.htm,Australia,om
155,Native Tribes of the Northern Territory of Australia,Baldwin Spencer,https://sacred-texts.com/aus/ntna/index.htm,Australia,ntna
156,The Native Tribes of Central Australia,Baldwin Spencer,https://sacred-texts.com/aus/ntca/index.htm,Australia,ntca
157,Australian Legendary Tales,K. Langloh Parker,https://sacred-texts.com/aus/alt/index.htm,Australia,alt
158,The Euahlayi Tribe,K. Langloh Parker,https://sacred-texts.com/aus/tet/index.htm,Australia,tet
